id	first_seen_utc	first_seen_confidence	observed_in_run	window_start_utc
5217	2026-08-31T03:50:36+00:00	unbounded	20260831T033020+0000	
5218	2026-08-31T03:50:34+00:00	unbounded	20260831T033020+0000	
5219	2026-08-31T03:50:31+00:00	unbounded	20260831T033020+0000	
5220	2026-08-31T03:50:29+00:00	unbounded	20260831T033020+0000	
5221	2026-08-31T03:50:25+00:00	unbounded	20260831T033020+0000	
5222	2026-08-31T03:50:22+00:00	unbounded	20260831T033020+0000	
5223	2026-08-31T03:50:18+00:00	unbounded	20260831T033020+0000	
5224	2026-08-31T03:50:16+00:00	unbounded	20260831T033020+0000	
5225	2026-08-31T03:50:13+00:00	unbounded	20260831T033020+0000	
5226	2026-08-31T03:50:10+00:00	unbounded	20260831T033020+0000	
5227	2026-08-31T03:50:07+00:00	unbounded	20260831T033020+0000	
5228	2026-08-31T03:50:05+00:00	unbounded	20260831T033020+0000	
5229	2026-08-31T03:50:03+00:00	unbounded	20260831T033020+0000	
5230	2026-08-31T03:50:00+00:00	unbounded	20260831T033020+0000	
5231	2026-08-31T03:49:58+00:00	unbounded	20260831T033020+0000	
5233	2026-08-31T03:49:53+00:00	unbounded	20260831T033020+0000	
5234	2026-08-31T03:49:51+00:00	unbounded	20260831T033020+0000	
5235	2026-08-31T03:49:48+00:00	unbounded	20260831T033020+0000	
5236	2026-08-31T03:49:46+00:00	unbounded	20260831T033020+0000	
5237	2026-08-31T03:49:44+00:00	unbounded	20260831T033020+0000	
5238	2026-08-31T03:49:41+00:00	unbounded	20260831T033020+0000	
5239	2026-08-31T03:49:39+00:00	unbounded	20260831T033020+0000	
5240	2026-08-31T03:49:37+00:00	unbounded	20260831T033020+0000	
5241	2026-08-31T03:49:34+00:00	unbounded	20260831T033020+0000	
5242	2026-08-31T03:49:32+00:00	unbounded	20260831T033020+0000	
5243	2026-08-31T03:49:30+00:00	unbounded	20260831T033020+0000	
5244	2026-08-31T03:49:28+00:00	unbounded	20260831T033020+0000	
5245	2026-08-31T03:49:25+00:00	unbounded	20260831T033020+0000	
5246	2026-08-31T03:49:23+00:00	unbounded	20260831T033020+0000	
5247	2026-08-31T03:49:21+00:00	unbounded	20260831T033020+0000	
5248	2026-08-31T03:49:19+00:00	unbounded	20260831T033020+0000	
5249	2026-08-31T03:49:17+00:00	unbounded	20260831T033020+0000	
5251	2026-08-31T03:49:13+00:00	unbounded	20260831T033020+0000	
5252	2026-08-31T03:49:11+00:00	unbounded	20260831T033020+0000	
5260	2026-08-31T03:48:52+00:00	unbounded	20260831T033020+0000	
5261	2026-08-31T03:48:50+00:00	unbounded	20260831T033020+0000	
5262	2026-08-31T03:48:48+00:00	unbounded	20260831T033020+0000	
